Weld_No,Date,Spread,Chainage,Welder_ID,Crew,Procedure,Joint_Type,NDT_Method,NDT_Result,Repair_Required,Status
W-4B-0218,2025-06-28,Spread B,18+800,WLD-115,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0219,2025-06-28,Spread B,19+100,WLD-123,CW-05,WPS-API1104-01,Butt,AUT,Reject,Yes,Repair Pending
W-4B-0220,2025-06-08,Spread B,21+500,WLD-109,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0221,2025-06-09,Spread B,14+400,WLD-109,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0222,2025-06-05,Spread B,19+000,WLD-127,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0223,2025-06-16,Spread B,18+100,WLD-131,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0224,2025-06-15,Spread B,12+300,WLD-131,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0225,2025-06-07,Spread B,15+300,WLD-107,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0226,2025-06-12,Spread B,20+600,WLD-117,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0227,2025-06-18,Spread B,13+700,WLD-140,CW-05,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0228,2025-06-09,Spread B,17+400,WLD-140,CW-04,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0229,2025-06-16,Spread B,15+700,WLD-121,CW-04,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0230,2025-06-24,Spread B,19+800,WLD-130,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0231,2025-06-26,Spread B,21+400,WLD-138,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0232,2025-06-29,Spread B,14+700,WLD-122,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0233,2025-06-26,Spread B,21+400,WLD-125,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0234,2025-06-05,Spread B,12+600,WLD-132,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0235,2025-06-08,Spread B,20+000,WLD-139,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0236,2025-06-28,Spread B,17+000,WLD-110,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0237,2025-06-13,Spread B,20+500,WLD-126,CW-05,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0238,2025-06-05,Spread B,14+300,WLD-101,CW-04,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0239,2025-06-13,Spread B,12+000,WLD-136,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0240,2025-06-19,Spread B,19+500,WLD-112,CW-04,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0241,2025-06-25,Spread B,22+800,WLD-137,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0242,2025-06-29,Spread B,15+000,WLD-127,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0243,2025-06-05,Spread B,13+000,WLD-127,CW-05,WPS-API1104-01,Butt,AUT,Reject,Yes,Repair Pending
W-4B-0244,2025-06-16,Spread B,13+200,WLD-122,CW-05,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0245,2025-06-04,Spread B,21+100,WLD-114,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0246,2025-06-28,Spread B,15+200,WLD-139,CW-04,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0247,2025-06-28,Spread B,13+300,WLD-133,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0248,2025-06-26,Spread B,17+600,WLD-126,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0249,2025-06-02,Spread B,22+400,WLD-106,CW-04,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0250,2025-06-03,Spread B,12+500,WLD-114,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0251,2025-06-27,Spread B,23+300,WLD-115,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0252,2025-06-29,Spread B,18+400,WLD-121,CW-04,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0253,2025-06-21,Spread B,20+000,WLD-130,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0254,2025-06-07,Spread B,12+400,WLD-115,CW-04,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0255,2025-06-19,Spread B,19+400,WLD-135,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0256,2025-06-09,Spread B,18+000,WLD-103,CW-05,WPS-API1104-02,Butt,RT,Reject,Yes,Repair Pending
W-4B-0257,2025-06-17,Spread B,16+200,WLD-120,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0258,2025-06-09,Spread B,12+600,WLD-125,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0259,2025-06-19,Spread B,16+700,WLD-134,CW-04,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0260,2025-06-24,Spread B,16+800,WLD-123,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
